Title,Company,Location,Apply
UI/UX Designer (internship),MindPal,"Austin, TX",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708509633?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=p2YTLavUhcVRBK5mLbTVGA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
UI / UX Designer,Chicago Bulls,"Chicago, IL",https://www.linkedin.com/jobs/view/ui-ux-designer-at-chicago-bulls-3707583475?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=sRx5TUph%2FMsPO%2BefN9SWGg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer,PathSpot,"New York, NY",https://www.linkedin.com/jobs/view/ui-ux-designer-at-pathspot-3667162946?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=MeptHo09hgLAwKR8p3F9MA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Orlando, FL",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510313?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=avvmrNeKTJ7sjO8pY4L8SQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Dallas, TX",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708512049?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=W2%2F%2BqJo65O93WOK6F8D%2F%2Fg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"William Paterson University of New Jersey, NJ",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510318?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=k0Zu1pWV3R4hEHvaSjtDnA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Detroit, MI",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708506845?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=dRUAJfnWAXzCoL65Swd2Ng%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
"UX, UI and/or Hybrid Designers",HOO KOO E KOO,United States,https://www.linkedin.com/jobs/view/ux-ui-and-or-hybrid-designers-at-hoo-koo-e-koo-3719413171?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=yr8xDrvG6Fo7GBqQH3pPOA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Indianapolis, IN",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708512037?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=EuhZiLvm1PbMFHc6iWrbQA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Nashville, TN",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708514008?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=NBEAULNnhR1WDvCH0EuJUQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Newark, NJ",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708511374?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=aj1nPegc4bLLpHP4hcn%2BGw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Minneapolis, MN",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708512061?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=o95Zuen3mKVcM1M4%2BfVwhg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Warren, MI",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708511214?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=nnq8TAKylz%2BUI%2BWMxgjxgQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Miami, FL",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510324?refId=qZ%2BNLWVbibVkyA43%2BFht2Q%3D%3D&trackingId=Iwi7qfQL3CfBhlTj%2BBOZCg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"New York, United States",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510304?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=a8itXYn5v%2F8zhJRXz3i7mA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Philadelphia, PA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708513031?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=hO8SOjyKJaJE%2FJWsZ6epZA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
